Scenario,CLV,Campaign Cost,Success Rate,ROI (%),Net Benefit ($)
Vary CLV,1000,100,0.65,165.8049353701528,141100.00000000003
Vary CLV,1500,100,0.65,298.7074030552292,254200.0
Vary CLV,2000,100,0.65,431.6098707403056,367300.00000000006
Vary CLV,2500,100,0.65,564.5123384253819,480400.0
Vary CLV,3000,100,0.65,697.4148061104584,593500.0
Vary Campaign Cost,2000,25,0.65,2026.4394829612224,431125.00000000006
Vary Campaign Cost,2000,50,0.65,963.2197414806112,409850.00000000006
Vary Campaign Cost,2000,75,0.65,608.8131609870741,388575.00000000006
Vary Campaign Cost,2000,100,0.65,431.6098707403056,367300.00000000006
Vary Campaign Cost,2000,150,0.65,254.40658049353706,324750.00000000006
Vary Success Rate,2000,100,0.4,227.1445358401881,193300.00000000006
Vary Success Rate,2000,100,0.5,308.930669800235,262900.0
Vary Success Rate,2000,100,0.65,431.6098707403056,367300.00000000006
Vary Success Rate,2000,100,0.75,513.3960047003526,436900.0
Vary Success Rate,2000,100,0.85,595.1821386603996,506500.0
